timestamp,hostname,empresa_id,servidor_id,mac_address,ip,cpu,ram,disco,health_score,status_cpu,status_ram,status_disco,temp_max_cpu,status_temperatura,margem_termica,status_margem,temperatura_ambiente,clima,umidade,fan_principal_rpm,indice_resfriamento,status_resfriamento,throttling,bytes_recv,bytes_sent,pack_recv,pack_sent,packet_loss_internet,latency_min_ms,latency_avg_ms,latency_max_ms,lat_adsb_rastreamento,lat_rastreamento_correlacao,lat_correlacao_rotas,lat_rotas_api,lat_api_bd,lat_bd_sync,rastreamento_mbps,rotas_mbps,correlacao_mbps,api_gateway_mbps,bd_mbps,sync_service_mbps,rastreamento_loss,correlacao_loss,rotas_loss,api_loss,bd_loss,sync_loss,opensky_timestamp,total_aeronaves,avg_adsb_update_seconds,status_health
2026-05-23 23:50:59,Jortieke,1,2,c0:35:32:c7:0b:59,192.168.56.1,20.5%,87.8%,95.2%,22.64%,estavel,critico,critico,42.0,normal,48.0,excelente,17.01,chuva leve,99,1755,67.5,boa,NAO,671737817,190442967,676851,533345,,15,44.3,101,36.82,77.07,87.14,21.05,99.18,63.63,33.69,17.14,25.4,8.88,14.59,16.01,0.18,1.18,0.04,0.09,0.01,0.38,1779591052,50,25.82,critico
2026-05-24 00:04:10,Jortieke,1,2,c0:35:32:c7:0b:59,192.168.56.1,20.3%,92.8%,96.3%,20.5%,estavel,critico,critico,45.0,normal,45.0,excelente,16.96,algumas nuvens,99,2272,78.2,boa,NAO,693959295,215137030,747296,631054,,16,51.1,107,40.64,53.2,69.59,24.84,149.03,62.61,38.81,24.95,18.08,5.62,27.53,19.58,0.73,0.29,0.48,0.44,0.77,0.18,1779591842,54,42.333333333333336,critico
