timestamp,hostname,empresa_id,servidor_id,mac_address,ip,cpu,ram,disco,health_score,status_cpu,status_ram,status_disco,temp_max_cpu,status_temperatura,margem_termica,status_margem,temperatura_ambiente,clima,umidade,fan_principal_rpm,indice_resfriamento,status_resfriamento,throttling,bytes_recv,bytes_sent,pack_recv,pack_sent,packet_loss_internet,latency_min_ms,latency_avg_ms,latency_max_ms,lat_adsb_rastreamento,lat_rastreamento_correlacao,lat_correlacao_rotas,lat_rotas_api,lat_api_bd,lat_bd_sync,rastreamento_mbps,rotas_mbps,correlacao_mbps,api_gateway_mbps,bd_mbps,sync_service_mbps,rastreamento_loss,correlacao_loss,rotas_loss,api_loss,bd_loss,sync_loss,opensky_timestamp,total_aeronaves,avg_adsb_update_seconds
2026-05-21 14:41:39,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,4.2,61.1,10.5,74.73,estavel,estavel,estavel,45.1,normal,44.9,excelente,16.14,nublado,86,2311,77.1,boa,NAO,375022119,107541695,265704,214611,,3,13.5,102,26.63,75.07,61.96,10.64,122.6,52.96,110.66,57.37,68.02,39.48,33.72,32.15,0.15,0.05,0.51,0.64,0.01,0.36,1779385282,151,36.11920529801324
2026-05-21 14:44:56,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,29.1,61.1,10.5,66.43,estavel,estavel,estavel,51.2,normal,38.8,excelente,15.97,nublado,85,2264,62.5,boa,NAO,380370306,108310193,269409,217537,,3,5.8,15,44.23,67.83,84.87,21.48,116.19,48.64,106.45,71.83,92.6,45.53,37.89,31.76,0.4,0.55,0.04,0.05,0.57,0.13,1779385486,148,34.96621621621622
2026-05-23 00:58:47,DESKTOP-N99CUBI,1,4,10:ff:e0:0f:99:42,26.26.180.111,8.8,48.8,50.3,64.03,estavel,estavel,estavel,,,,,,,,,,,,33000430274,13104431360,772106,23882433,,11,13.9,19,48.94,73.52,82.37,19.21,62.6,62.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.62,0.84,0.52,0.24,,,
2026-05-23 01:45:28,DESKTOP-N99CUBI,1,4,10:ff:e0:0f:99:42,26.26.180.111,8.2,50.9,50.3,63.53,estavel,estavel,estavel,,,,,,,,,,,,33035804170,13125302495,845812,23937960,,11,12.3,15,40.72,57.17,61.05,31.26,146.25,31.23,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.44,0.5,0.84,0.47,0.22,,,
2026-05-23 01:59:31,DESKTOP-N99CUBI,1,4,10:ff:e0:0f:99:42,26.26.180.111,5.5,48.9,50.3,65.1,estavel,estavel,estavel,,,,,,,,,,,,33041420787,13133984887,865553,23952696,,11,13.3,20,35.54,50.98,45.97,11.59,124.76,45.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.0,0.34,0.16,0.67,,,
