timestamp,hostname,empresa_id,servidor_id,mac_address,bytes_recv,bytes_sent,pack_recv,pack_sent,packet_loss_internet,latency_min_ms,latency_avg_ms,latency_max_ms,lat_adsb_rastreamento,lat_rastreamento_correlacao,lat_correlacao_rotas,lat_rotas_api,lat_api_bd,lat_bd_sync,rastreamento_mbps,rotas_mbps,correlacao_mbps,api_gateway_mbps,bd_mbps,sync_service_mbps,rastreamento_loss,correlacao_loss,rotas_loss,api_loss,bd_loss,sync_loss,opensky_timestamp,total_aeronaves,avg_adsb_update_seconds
2026-05-13 21:34:01,Jortieke,1,1,c0:35:32:c7:0b:59,1143476936,135500017,1081336,370660,0,20,75.8,196,39.11,54.49,43.96,29.65,138.7,51.69,75.54,42.5,36.64,22.86,45.88,44.73,1.28,0.09,0.88,0.19,0.2,0.04,1778718830,102,23.852941176470587
2026-05-13 21:35:15,Jortieke,1,1,c0:35:32:c7:0b:59,1160846752,136295162,1095578,374241,0,17,55.9,112,34.96,75.48,64.92,36.87,53.45,50.39,55.55,36.94,33.75,10.76,58.11,30.04,0.31,0.13,1.44,0.05,0.24,0.65,1778718909,102,31.470588235294116
2026-05-13 21:40:54,Jortieke,1,1,c0:35:32:c7:0b:59,1214118731,140175590,1141239,386341,0,15,40.9,108,27.4,44.09,77.6,35.34,72.24,77.85,68.34,39.62,57.7,24.71,37.12,37.92,0.35,0.29,0.1,0.0,0.16,0.09,1778719248,92,32.28260869565217
